,question,correct_ans,model_ans_three_shot
0,شعاع دایره نصف قطر دایره است. گزینه ها: ا)درست است. ب)غلط است.,ا,ا
1,نصف عددی را با ۵ جمع کردیم حاصل ۱۲ شد . آن عدد کدام است؟ گزینه ها: ا)14 ب)9,ا,ب
2,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل ۱۸  باشد. گزینه ها: ا) عرض 4 و طول 5   ب) عرض 3 و طول 8,ا,ب
3,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل 24  باشد. گزینه ها: ا) عرض 4 و طول 5 ب) عرض 2 و طول 10,ب,ا
4,عدد 8 از 10 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ا,ا
5,برنامه عمو پورنگ ساعت ۱۷:۳۰ پخش می.شود این برنامه چه ساعتی در بعد از ظهر است؟ گزینه ها: ا) 7:30 ب)5:30,ب,ب
6,باغچه ای به شکل مستطیل به طول ۹ و عرض ۶ می.باشد مساحت باغچه را به درست آورید. گزینه ها: ا) 15 ب) 54,ب,ب
7,در میان دو گزینه ی ا) 8 ضرب در 14 و ب) 11 ضرب در 11 کدام گزینه بزرگتر است؟,ب,ب
8, یک دستگاه جوراب بافی در هر ساعت ۲۵ جفت جوراب میبافد. این دستگاه در ۲۰ ساعت چند جفت جوراب می بافد؟ گزینه ها: ا)500 ب) 400,ا,ب
9,عدد شش و نیم بین چه اعدادی قرار دارد؟ گزینه ها: ا) شش و هفت ب) پنج و شش,ا,ا
10,کدام گزینه بزرگتر است؟ گزینه ها: ا) سه چهارم  ب) سه پنجم.,ا,ب
11,می خواهیم ۶ بسته ی ۱۲ تایی مداد رنگی را بین ۹ نفر به طور مساوی تقسیم کنیم به هر کدام چند تا مداد میرسد؟ گزینه ها: ا)8 ب)11,ا,ب
12,با رقم های 5 ، 0 ، 2 ، 8 بزرگترین عدد چهار رقمی را بنویسید. گزینه ها: ا) 8888 ب)8520,ا,ب
13,سه نقطه را با کلمات مناسب پر کن. مثلثی که 3 ضلع برابر دارد ... نام دارد . گزینه ها: ا) متساوی الاضلاع ب) متساوی الساقین,ا,ا
14,سه نقطه را با کلمات مناسب پر کن. احتمال پشت یا رو آمدن یک سکه ... است . گزینه ها: ا) یک دوم ب) دو,ا,ب
15,سه نقطه را با کلمات مناسب پر کن. دایره ... قطر دارد. گزینه ها: ا) بی نهایت ب) یک,ا,ب
16,اگر رقم یکان 78 را به 2 تبدیل کنیم به چه عددی می رسیم؟ گزینه ها: ا) 72 ب ) 28,ا,ب
17,مربعی داریم به ضلع 8 سانتی متر ، محیط مربع را حساب کنید ؟ گزینه ها:  ا) 64 ب) 32,ب,ب
18,سه نقطه را با کلمات مناسب پر کن. 4 بسنه ی 12 تایی مداد را بین 5 نفر به صورت مساوی تقسیم کرده ایم .  به هر نفر ... مداد می رسد و 3 مداد باقی می ماند. گزینه ها: ا) 9 ب) 3,ا,ب
19, محیط مثلث متساوی الاضلاعی 27 سانتی متر  است . اندازه یک ضلع آن را حساب کنید. گزینه ها: ا) 7 ب) 9,ب,ب
20,سن سارا ۳۰ سال است اگر سن برادرش ۶ سال باشد سن سارا چند برابر برادرش است؟ گزینه ها: ا) پنج برابر ب) شش برابر,ا,ب
21,باغچه ای به شکل مستطیل به طول ۸ و عرض ۵ داریم میخواهیم دور تا دور آن نرده بکشیم. برای دور تا دور آن به چند متر نرده نیاز داریم؟ گزینه ها: ا) 40 ب)26,ب,ا
22,یک دستگاه جوراب بافی در هر ساعت ۳۵ جفت جوراب میبافد این دستگاه در ۸ ساعت چند جفت جوراب میبافد؟ گزینه ها: ا) 240 ب ) 280,ب,ب
23,در عدد 1372 بزرگترین رقم در چه مرتبه ای قرار دارد؟ گزینه ها: ا) دهگان ب) صدگان,ا,ب
24,علی 23 تا کتاب دارد. 12 تا از آن ها کتاب داستان و بقیه کتاب علمی است. علی چندکتاب علمی دارد ؟ گزینه ها: ا) 8 ب) 11,ب,ب
25,با رقم های 2،0،3 عدد سه رقمی بنویس که یکان آن 0 باشد. گزینه ها: ا) 203 ب) 230,ب,ب
26,چه عددی را با 17 جمع کنیم که جواب 51 شود؟ گزینه ها: ا)34 ب)24,ا,ا
27,مقدار 35 متر چند سانتی متر است؟ گزینه ها: ا) 35000 ب) 3500,ب,ا
28,از میان دو عدد 60 و 25 کدامیک همزمان بر اعداد 2و3و5 بخش پذیر است؟ گزینه ها: ا) 60 ب)25,ا,ا
29,احتمال زوج آمدن یک تاس چیست؟ گزینه ها: ا) یک دوم ب) یک ششم,ا,ب
