,Unnamed: 0,question,correct_ans,model_ans,model_ans_one_shot
0,0,شعاع دایره نصف قطر دایره است. گزینه ها: ا)درست است. ب)غلط است.,ا,ا,ا
1,1,نصف عددی را با ۵ جمع کردیم حاصل ۱۲ شد . آن عدد کدام است؟ گزینه ها: ا)14 ب)9,ا,ب,ب
2,2,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل ۱۸  باشد. گزینه ها: ا) عرض 4 و طول 5   ب) عرض 3 و طول 8,ا,ا,ب
3,3,مساحت مستطیلی ۲۰ سانتی متر مربع است. اندازهی ضلعها را طوری انتخاب کن که  محیط مستطیل 24  باشد. گزینه ها: ا) عرض 4 و طول 5 ب) عرض 2 و طول 10,ب,ا,ب
4,4,عدد 8 از 10 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ا,ا,ب
5,5,برنامه عمو پورنگ ساعت ۱۷:۳۰ پخش می.شود این برنامه چه ساعتی در بعد از ظهر است؟ گزینه ها: ا) 7:30 ب)5:30,ب,ب,ب
6,6,باغچه ای به شکل مستطیل به طول ۹ و عرض ۶ می.باشد مساحت باغچه را به درست آورید. گزینه ها: ا) 15 ب) 54,ب,ب,ب
7,7,در میان دو گزینه ی ا) 8 ضرب در 14 و ب) 11 ضرب در 11 کدام گزینه بزرگتر است؟,ب,ا,ب
8,8, یک دستگاه جوراب بافی در هر ساعت ۲۵ جفت جوراب میبافد. این دستگاه در ۲۰ ساعت چند جفت جوراب می بافد؟ گزینه ها: ا)500 ب) 400,ا,ا,ب
9,9,عدد شش و نیم بین چه اعدادی قرار دارد؟ گزینه ها: ا) شش و هفت ب) پنج و شش,ا,ا,ب
10,10,کدام گزینه بزرگتر است؟ گزینه ها: ا) سه چهارم  ب) سه پنجم.,ا,ب,ب
11,11,می خواهیم ۶ بسته ی ۱۲ تایی مداد رنگی را بین ۹ نفر به طور مساوی تقسیم کنیم به هر کدام چند تا مداد میرسد؟ گزینه ها: ا)8 ب)11,ا,ا,ب
12,12,با رقم های 5 ، 0 ، 2 ، 8 بزرگترین عدد چهار رقمی را بنویسید. گزینه ها: ا) 8888 ب)8520,ا,ا,ب
13,13,سه نقطه را با کلمات مناسب پر کن. مثلثی که 3 ضلع برابر دارد ... نام دارد . گزینه ها: ا) متساوی الاضلاع ب) متساوی الساقین,ا,ب,ا
14,14,سه نقطه را با کلمات مناسب پر کن. احتمال پشت یا رو آمدن یک سکه ... است . گزینه ها: ا) یک دوم ب) دو,ا,ب,ب
15,15,سه نقطه را با کلمات مناسب پر کن. دایره ... قطر دارد. گزینه ها: ا) بی نهایت ب) یک,ا,ب,ب
16,16,اگر رقم یکان 78 را به 2 تبدیل کنیم به چه عددی می رسیم؟ گزینه ها: ا) 72 ب ) 28,ا,ب,ب
17,17,مربعی داریم به ضلع 8 سانتی متر ، محیط مربع را حساب کنید ؟ گزینه ها:  ا) 64 ب) 32,ب,ا,ب
18,18,سه نقطه را با کلمات مناسب پر کن. 4 بسنه ی 12 تایی مداد را بین 5 نفر به صورت مساوی تقسیم کرده ایم .  به هر نفر ... مداد می رسد و 3 مداد باقی می ماند. گزینه ها: ا) 9 ب) 3,ا,ا,ب
19,19, محیط مثلث متساوی الاضلاعی 27 سانتی متر  است . اندازه یک ضلع آن را حساب کنید. گزینه ها: ا) 7 ب) 9,ب,ب,ا
